split,class,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100
val,neg,6.142791335150832e-06,1.0873296560021117e-05,1.6227077139774337e-05,2.221302747784648e-05,4.49301369371824e-05,0.00018308006110601127,0.0025805679615586996,0.05757501348853111,0.34124669432640076,0.9558425545692444,0.9999477863311768
val,pos,6.394282536348328e-05,0.40170198678970337,0.9580596685409546,0.9907854795455933,0.9989373087882996,0.9999639987945557,0.9999861717224121,0.9999920129776001,0.9999939203262329,0.9999959468841553,0.9999979734420776
test,neg,6.079094873712165e-06,1.0899062544922344e-05,1.6099351341836154e-05,2.2034935682313517e-05,4.4936481572221965e-05,0.0001835536677390337,0.0025438345037400723,0.054793134331703186,0.3070443570613861,0.9572596549987793,0.999992847442627
test,pos,0.00010299540736014023,0.40865907073020935,0.9604330062866211,0.990993320941925,0.998915433883667,0.9999650716781616,0.9999862909317017,0.9999920129776001,0.9999939203262329,0.9999958276748657,0.9999980926513672
