model_name,p_meta_mean,p_meta_std,p_meta_min,p_lex_mean,p_lex_std,p_syn_mean,p_syn_std,p_sem_mean,p_sem_std,confidence_margin_mean,confidence_margin_min,detected_mean
Gpt 5,0.9999,1e-04,0.9996,1.0,1e-04,1.0,1e-04,0.9999,0.0003,0.4455,0.4452,1.0
Claude Sonnet 4.5,0.9999,0.0,0.9999,1.0,0.0,1.0,0.0,0.9999,0.0,0.4455,0.4455,1.0
Grok 4,0.9999,1e-04,0.9998,1.0,0.0,1.0,1e-04,0.9999,1e-04,0.4455,0.4453,1.0
Claude Opus,1.0,0.0,0.9999,1.0,0.0,1.0,0.0,0.9999,0.0,0.4455,0.4455,1.0
Claude Haiku 3.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4455,0.4455,1.0
Llama 4,1.0,0.0,0.9999,1.0,0.0,1.0,0.0,1.0,0.0,0.4455,0.4455,1.0
