idx,model_name,jaccard,bigram_overlap,trigram_overlap,norm_edit_dist,length_ratio,length_change,novel_word_ratio,orig_len,para_len
17,Claude Sonnet 4.5,0.44,0.20588235294117646,0.09333333333333334,0.4318181818181818,0.9545454545454546,-0.045454545454545456,0.35714285714285715,44,42
18,Claude Sonnet 4.5,0.46808510638297873,0.23809523809523808,0.15151515151515152,0.4634146341463415,0.9512195121951219,0.05128205128205128,0.34146341463414637,39,41
19,Claude Sonnet 4.5,0.3728813559322034,0.14942528735632185,0.030927835051546393,0.49056603773584906,0.9622641509433962,0.0392156862745098,0.3584905660377358,51,53
20,Claude Opus,0.45,0.14814814814814814,0.034482758620689655,0.8823529411764706,0.8823529411764706,-0.11764705882352941,0.4,34,30
21,Claude Opus,0.3968253968253968,0.16666666666666666,0.06666666666666667,0.5,0.9230769230769231,0.08333333333333333,0.40384615384615385,48,52
22,Claude Opus,0.5238095238095238,0.35294117647058826,0.23214285714285715,0.3157894736842105,0.9210526315789473,0.08571428571428572,0.2894736842105263,35,38
23,Claude Opus,0.3384615384615385,0.13636363636363635,0.08888888888888889,0.8076923076923077,0.9615384615384616,-0.038461538461538464,0.46,52,50
24,Claude Opus,0.2631578947368421,0.0784313725490196,0.0,0.7241379310344828,1.0,0.0,0.5862068965517241,29,29
25,Claude Opus,0.36363636363636365,0.13513513513513514,0.0641025641025641,0.5454545454545454,0.9772727272727273,-0.022727272727272728,0.4186046511627907,44,43
26,Claude Opus,0.42857142857142855,0.2222222222222222,0.12280701754385964,0.42857142857142855,0.9428571428571428,-0.05714285714285714,0.36363636363636365,35,33
27,Claude Opus,0.3148148148148148,0.0958904109589041,0.025974025974025976,0.5454545454545454,0.8863636363636364,-0.11363636363636363,0.46153846153846156,44,39
28,Claude Opus,0.425531914893617,0.20967741935483872,0.12307692307692308,0.5128205128205128,0.9743589743589743,-0.02564102564102564,0.3684210526315789,39,38
29,Claude Opus,0.39655172413793105,0.15476190476190477,0.031914893617021274,0.47058823529411764,0.9803921568627451,-0.0196078431372549,0.36,51,50
30,Grok 4,0.4864864864864865,0.3541666666666667,0.23529411764705882,0.9411764705882353,0.9705882352941176,-0.029411764705882353,0.2727272727272727,34,33
31,Grok 4,0.3548387096774194,0.15476190476190477,0.05555555555555555,0.47058823529411764,0.9411764705882353,0.0625,0.39215686274509803,48,51
32,Grok 4,0.3695652173913043,0.15254237288135594,0.07936507936507936,0.4864864864864865,0.9459459459459459,0.05714285714285714,0.40540540540540543,35,37
33,Grok 4,0.36065573770491804,0.20238095238095238,0.08695652173913043,0.40384615384615385,1.0,0.0,0.36538461538461536,52,52
34,Grok 4,0.24324324324324326,0.05555555555555555,0.03773584905660377,0.7333333333333333,0.9666666666666667,0.034482758620689655,0.5,29,30
35,Grok 4,0.5319148936170213,0.3333333333333333,0.2153846153846154,0.3409090909090909,0.8863636363636364,-0.11363636363636363,0.2564102564102564,44,39
36,Grok 4,0.5384615384615384,0.3469387755102041,0.2549019607843137,0.4857142857142857,0.9428571428571428,-0.05714285714285714,0.2727272727272727,35,33
37,Grok 4,0.18032786885245902,0.0375,0.012195121951219513,0.6136363636363636,0.9772727272727273,-0.022727272727272728,0.5813953488372093,44,43
38,Grok 4,0.3137254901960784,0.11764705882352941,0.04225352112676056,0.6666666666666666,1.0,0.0,0.46153846153846156,39,39
39,Grok 4,0.31746031746031744,0.1411764705882353,0.07865168539325842,0.5490196078431373,0.9607843137254902,-0.0392156862745098,0.46938775510204084,51,49
40,Gpt 5,0.5,0.3617021276595745,0.2916666666666667,0.8823529411764706,0.9411764705882353,-0.058823529411764705,0.25,34,32
41,Gpt 5,0.509090909090909,0.2702702702702703,0.15,0.3541666666666667,1.0,0.0,0.2708333333333333,48,48
42,Gpt 5,0.525,0.25,0.14035087719298245,0.37142857142857144,0.9714285714285714,-0.02857142857142857,0.2647058823529412,35,34
43,Gpt 5,0.4642857142857143,0.2564102564102564,0.1566265060240964,0.4230769230769231,0.9230769230769231,-0.07692307692307693,0.2916666666666667,52,48
44,Gpt 5,0.45454545454545453,0.1875,0.057692307692307696,0.5,0.9666666666666667,0.034482758620689655,0.3333333333333333,29,30
45,Gpt 5,0.4423076923076923,0.22727272727272727,0.17647058823529413,0.5,0.9090909090909091,-0.09090909090909091,0.375,44,40
46,Gpt 5,0.75,0.6046511627906976,0.45652173913043476,0.3888888888888889,0.9722222222222222,0.02857142857142857,0.1388888888888889,35,36
47,Gpt 5,0.46808510638297873,0.1875,0.08695652173913043,0.4772727272727273,0.7954545454545454,-0.20454545454545456,0.3142857142857143,44,35
48,Gpt 5,0.391304347826087,0.171875,0.10606060606060606,0.48717948717948717,0.9743589743589743,-0.02564102564102564,0.34210526315789475,39,38
49,Gpt 5,0.5094339622641509,0.3472222222222222,0.18518518518518517,0.3333333333333333,0.9607843137254902,-0.0392156862745098,0.2653061224489796,51,49
50,Llama 4,0.8,0.6842105263157895,0.5897435897435898,0.17647058823529413,0.9411764705882353,-0.058823529411764705,0.0625,34,32
51,Llama 4,0.48214285714285715,0.23376623376623376,0.10714285714285714,0.42857142857142855,0.9795918367346939,0.020833333333333332,0.30612244897959184,48,49
52,Llama 4,0.46511627906976744,0.2641509433962264,0.13559322033898305,0.4722222222222222,0.9722222222222222,0.02857142857142857,0.3333333333333333,35,36
53,Llama 4,0.25,0.10227272727272728,0.05555555555555555,0.8076923076923077,0.9038461538461539,-0.09615384615384616,0.46808510638297873,52,47
54,Llama 4,0.3235294117647059,0.10869565217391304,0.041666666666666664,0.6206896551724138,0.8620689655172413,-0.13793103448275862,0.44,29,25
55,Llama 4,0.22807017543859648,0.06756756756756757,0.0,0.7272727272727273,0.8863636363636364,-0.11363636363636363,0.5128205128205128,44,39
56,Llama 4,0.4186046511627907,0.13793103448275862,0.0847457627118644,0.7142857142857143,0.9428571428571428,-0.05714285714285714,0.36363636363636365,35,33
57,Llama 4,0.375,0.2222222222222222,0.13432835820895522,0.5227272727272727,0.8181818181818182,-0.18181818181818182,0.3333333333333333,44,36
58,Llama 4,0.3541666666666667,0.08955223880597014,0.028985507246376812,0.6666666666666666,0.9230769230769231,-0.07692307692307693,0.4166666666666667,39,36
59,Llama 4,0.35714285714285715,0.21333333333333335,0.0975609756097561,0.49019607843137253,0.8431372549019608,-0.1568627450980392,0.37209302325581395,51,43
