model_name,jaccard_mean,jaccard_std,bigram_overlap_mean,bigram_overlap_std,trigram_overlap_mean,trigram_overlap_std,norm_edit_dist_mean,norm_edit_dist_std,length_ratio_mean,length_ratio_std,length_change_mean,length_change_std,novel_word_ratio_mean,novel_word_ratio_std
Claude Haiku 3.5,0.2475,0.1221,0.1,0.0936,0.0464,0.0578,0.7534,0.1566,0.9269,0.0423,0.0217,0.0934,0.5664,0.1474
Claude Opus,0.3901,0.0741,0.17,0.078,0.079,0.0675,0.5733,0.1769,0.9449,0.0407,-0.0226,0.0685,0.4112,0.0798
Claude Sonnet 4.5,0.4744,0.0987,0.2437,0.1062,0.1378,0.092,0.5031,0.1571,0.9575,0.0248,0.0101,0.0529,0.328,0.0812
Gpt 5,0.5014,0.0959,0.2864,0.1288,0.1808,0.116,0.4718,0.1573,0.9414,0.0578,-0.0462,0.0693,0.2846,0.0651
Grok 4,0.3697,0.1185,0.1896,0.1173,0.1098,0.0898,0.5691,0.1764,0.9592,0.0332,-0.0108,0.054,0.3977,0.1084
Llama 4,0.4054,0.1611,0.2124,0.1796,0.1275,0.1685,0.5627,0.1845,0.9073,0.0544,-0.083,0.0698,0.3609,0.1237
