Model,Split,F1,Accuracy,Precision,Recall,AUC_ROC,AUC_PR,MCC,Brier,Threshold,PosRate,PredPosRate,ECE
single_a,val,0.9663489690400549,0.9549833333333333,0.963169005339625,0.96955,0.9912929257812501,0.9957359907202555,0.8984205278079552,0.03380162120526994,0.5544444444444444,0.6666666666666666,0.6710833333333334,0.29008581158202973
single_a,test,0.9661497083159527,0.9546916666666667,0.9624406157357447,0.9698875,0.9913094723437501,0.995762771322309,0.8977212598004605,0.034033367701225774,0.5544444444444444,0.6666666666666666,0.671825,0.2904249676381496
single_b,val,0.9630006073602142,0.95025,0.9549868476042973,0.97115,0.9901091703125,0.9951647831887384,0.8873980693561916,0.03825369490427699,0.26242424242424245,0.6666666666666666,0.67795,0.30390818855774443
single_b,test,0.9619146799568564,0.9488,0.9540960625660952,0.9698625,0.9897823395312499,0.9950351191004415,0.8841164271113443,0.03911290967531241,0.26242424242424245,0.6666666666666666,0.6776833333333333,0.30312035976796636
fusion_no_disentangle,val,0.9721020680370477,0.9627,0.9694313915616221,0.9747875,0.9937600273437499,0.9969086009180431,0.9158741423249567,0.028123683592866097,0.5197979797979798,0.6666666666666666,0.67035,0.3029591020420244
fusion_no_disentangle,test,0.9715210960610307,0.9618916666666667,0.9680546075085324,0.9750125,0.99359549921875,0.9968455256211879,0.9140005020365057,0.028654657741795552,0.5197979797979798,0.6666666666666666,0.6714583333333334,0.30299720453313167
