Model,Split,F1,Accuracy,Precision,Recall,AUC_ROC,AUC_PR,MCC,Brier,Threshold,PosRate,PredPosRate,ECE
Majority,val,0.8,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,0.5,0.6666666666666666,1.0,0.33333333333333337
Majority,test,0.8,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,0.5,0.6666666666666666,1.0,0.33333333333333337
Random,val,0.5716080312341635,0.4998416666666667,0.6662229838776766,0.500525,0.4996836871875,0.6671614714263645,-0.0009428104307880674,0.3339217430811074,0.5,0.6666666666666666,0.5008583333333333,0.12943867729580721
Random,test,0.5728642498733075,0.5013083333333334,0.6676871370813436,0.501625,0.5004068259375,0.6663609042103221,0.002168463990812555,0.3336011523544602,0.5,0.6666666666666666,0.5008583333333333,0.12985453809448294
