model_name,surf_jaccard,surf_novel_word_ratio,surf_norm_edit_dist,surf_length_change,p_meta,p_lex,p_syn,p_sem,head_gap
Claude Haiku 3.5,0.2475,0.5664,0.7534,0.0217,1.0,1.0,1.0,1.0,0.0
Claude Opus,0.3901,0.4112,0.5733,-0.0226,1.0,1.0,1.0,0.9999,0.0
Claude Sonnet 4.5,0.4744,0.328,0.5031,0.0101,0.9999,1.0,1.0,0.9999,0.0
Gpt 5,0.5014,0.2846,0.4718,-0.0462,0.9999,1.0,1.0,0.9999,0.0001
Grok 4,0.3697,0.3977,0.5691,-0.0108,0.9999,1.0,1.0,0.9999,0.0
Llama 4,0.4054,0.3609,0.5627,-0.083,1.0,1.0,1.0,1.0,0.0
